Time,Velocity,Setpoint
0.0,5.43004560470588,10.0
0.016666666666666666,5.430009841919028,10.0
0.03333333333333333,5.430081844329952,10.0
0.05,5.431610107422042,10.0
0.06666666666666667,5.43628692626965,10.0
0.08333333333333333,5.445534706115841,10.0
0.1,5.4594140052796805,10.0
0.11666666666666667,5.477582931518701,10.0
0.13333333333333333,5.498662471771464,10.0
0.15,5.509535312652621,10.0
0.16666666666666666,5.507493972778414,10.0
0.18333333333333332,5.505761146545427,10.0
0.2,5.505258083343524,10.0
0.21666666666666667,5.5043492317199885,10.0
0.23333333333333334,5.503618240356463,10.0
0.25,5.502819538116474,10.0
0.26666666666666666,5.502052307128942,10.0
0.2833333333333333,5.501277446746854,10.0
0.3,5.500506401062036,10.0
0.31666666666666665,5.499734878540072,10.0
0.3333333333333333,5.4989666938782,10.0
0.35,5.498197078704863,10.0
0.36666666666666664,5.497428894043001,10.0
0.38333333333333336,5.496661663055488,10.0
0.4,5.495893001556443,10.0
0.4166666666666667,5.495124816894581,10.0
0.43333333333333335,5.494356632232735,10.0
0.45,5.493588924408058,10.0
0.4666666666666667,5.492820262909012,10.0
0.48333333333333334,5.492052555084312,10.0
0.5,5.491285324096806,10.0
0.5166666666666667,5.490516185760505,10.0
0.5333333333333333,5.489749431610113,10.0
0.55,5.4889812469482795,10.0
0.5666666666666667,5.488213539123558,10.0
0.5833333333333334,5.487445354461716,10.0
0.6,5.486677169799809,10.0
0.6166666666666667,5.485911369323748,10.0
0.6333333333333333,5.485142707824719,10.0
0.65,5.5078701972962945,10.0
0.6666666666666666,5.642520427703882,10.0
0.6833333333333333,5.6838817596435804,10.0
0.7,5.777113437652642,10.0
0.7166666666666667,5.832067966461251,10.0
0.7333333333333333,5.907211780548247,10.0
0.75,5.966922283172762,10.0
0.7666666666666667,6.033360004425104,10.0
0.7833333333333333,6.0937919616701395,10.0
0.8,6.155812740326142,10.0
0.8166666666666667,6.215445995330856,10.0
0.8333333333333334,6.275016307830993,10.0
0.85,6.3334884643558835,10.0
0.8666666666666667,6.39151430130046,10.0
0.8833333333333333,6.448903083801363,10.0
0.9,6.505838394165496,10.0
0.9166666666666666,6.562328815460555,10.0
0.9333333333333333,6.618441104889736,10.0
0.95,6.674211978912877,10.0
0.9666666666666667,6.729675769806408,10.0
0.9833333333333333,6.784872055054235,10.0
1.0,6.839820384979804,10.0
1.0166666666666666,6.894549369812564,10.0
1.0333333333333334,6.94907903671321,10.0
1.05,7.0034255981456655,10.0
1.0666666666666667,7.057610511781631,10.0
1.0833333333333333,7.111642837525016,10.0
1.1,7.165535926819234,10.0
1.1166666666666667,7.219297885895162,10.0
1.1333333333333333,7.272941589355806,10.0
1.15,7.326473712921551,10.0
1.1666666666666667,7.379898548126565,10.0
1.1833333333333333,7.433217525482425,10.0
1.2,7.486424922943522,10.0
1.2166666666666666,7.539515018463334,10.0
1.2333333333333334,7.592486858368136,10.0
1.25,7.6453356742860885,10.0
1.2666666666666666,7.698060512542906,10.0
1.2833333333333334,7.75065898895294,10.0
1.3,7.803129196167308,10.0
1.3166666666666667,7.855469703674632,10.0
1.3333333333333333,7.907680034637785,10.0
1.35,7.959759235382395,10.0
1.3666666666666667,8.011705398559954,10.0
1.3833333333333333,8.063518524170242,10.0
1.4,8.115199089050625,10.0
1.4166666666666667,8.166747093201035,10.0
1.4333333333333333,8.218159675598457,10.0
1.45,8.26943969726589,10.0
1.4666666666666666,8.32058715820343,10.0
1.4833333333333334,8.37160205841104,10.0
1.5,8.422483444214313,10.0
1.5166666666666666,8.473233222961843,10.0
1.5333333333333334,8.52385139465384,10.0
1.55,8.574339866638756,10.0
1.5666666666666667,8.624698638916641,10.0
1.5833333333333333,8.674927711487355,10.0
1.6,8.72502994537399,10.0
1.6166666666666667,8.775006294251062,10.0
1.6333333333333333,8.824857711792466,10.0
1.65,8.874587059021332,10.0
1.6666666666666667,8.924195289612186,10.0
1.6833333333333333,8.97368526458796,10.0
1.7,9.023059844971417,10.0
1.7166666666666666,9.072322845459123,10.0
1.7333333333333334,9.121477127075272,10.0
1.75,9.170527458191023,10.0
1.7666666666666666,9.219479560852275,10.0
1.7833333333333334,9.268243789673162,10.0
1.8,9.316770553588949,10.0
1.8166666666666667,9.365077972412214,10.0
1.8333333333333333,9.413179397583082,10.0
1.85,9.461018562317012,10.0
1.8666666666666667,9.508610725402953,10.0
1.8833333333333333,9.555973052978707,10.0
1.9,9.603118896484565,10.0
1.9166666666666667,9.650061607361003,10.0
1.9333333333333333,9.696812629699965,10.0
1.95,9.743378639221286,10.0
1.9666666666666666,9.78976726532012,10.0
1.9833333333333334,9.835985183715884,10.0
2.0,9.881343841552761,10.0
2.0166666666666666,9.922838211059728,10.0
2.033333333333333,9.956986427307195,10.0
2.05,9.981181144714434,10.0
2.066666666666667,9.994072914123587,10.0
2.0833333333333335,9.99579238891614,10.0
2.1,9.987557411193922,10.0
2.1166666666666667,9.971213340759375,10.0
2.1333333333333333,9.948930740356529,10.0
2.15,9.92285346984877,10.0
2.1666666666666665,9.895152091980153,10.0
2.183333333333333,9.867944717407504,10.0
2.2,9.843171119690895,10.0
2.216666666666667,9.822491645813637,10.0
2.2333333333333334,9.807202339172797,10.0
2.25,9.798193931579805,10.0
2.2666666666666666,9.795764923095813,10.0
2.283333333333333,9.799651145935384,10.0
2.3,9.809113502502532,10.0
2.316666666666667,9.823006629943906,10.0
2.3333333333333335,9.839828491211012,10.0
2.35,9.857931137085068,10.0
2.3666666666666667,9.875662803650076,10.0
