Time,Distance,Setpoint
3.8833333333333333,65.33253479003906,10.0
3.9,65.25090215349198,10.0
3.9166666666666665,65.1692695169449,10.0
3.933333333333333,65.08763688039781,10.0
3.95,65.00600424385073,10.0
3.966666666666667,64.92437160730364,10.0
3.9833333333333334,64.84273897075656,10.0
4.0,64.76110633420947,10.0
4.016666666666667,64.67947369766239,10.0
4.033333333333333,64.5978410611153,10.0
4.05,64.51620842456822,10.0
4.066666666666666,64.43457578802114,10.0
4.083333333333333,64.35294315147405,10.0
4.1,64.27131051492697,10.0
4.116666666666666,64.18967787837988,10.0
4.133333333333334,64.1080452418328,10.0
4.15,64.02641260528571,10.0
4.166666666666667,63.94477996873862,10.0
4.183333333333334,63.86314733219153,10.0
4.2,63.78151469564444,10.0
4.216666666666667,63.69988205909735,10.0
4.233333333333333,63.61824942255026,10.0
4.25,63.536616786003165,10.0
4.266666666666667,63.454984149456074,10.0
4.283333333333333,63.37335151290898,10.0
4.3,63.29171887636189,10.0
4.316666666666666,63.2100862398148,10.0
4.333333333333333,63.12845360326771,10.0
4.35,63.04682096672062,10.0
4.366666666666666,62.965188330173525,10.0
